case,alpha,r2,k_min,k_max
Case 1: no-slip all,-3.5306,0.994,2.00,108.00
Case 2: sponge all,-4.8476,0.985,2.00,108.00
Case 3: no-slip L/R + sponge T/B,-3.4502,0.992,2.00,108.00
