case,slope_dE_dt,r2,t0,t1
Case 1: no-slip all,7.7058e-03,-inf,100.0,100.0
Case 2: sponge all,-4.6869e-03,0.953,84.0,85.0
Case 3: no-slip L/R + sponge T/B,8.0515e-03,-inf,100.0,100.0
